Matchdate,Court,Round,Agegroup,Gender,Starttime,Endtime,Sports,Sportscategory,team1,team2
24-12-2015,4,1,U-10,male,,,tennis,single,"SFAST002606,s16,won","SFAST002493,s13,lost"
24-12-2015,3,1,U-10,male,,,tennis,single,"SFAST002575,s16,won","SFAST002476,s10,lost"
24-12-2015,2,1,U-10,male,,,tennis,single,"SFAST002342,s16,won","SFAST002487,s12,lost"
24-12-2015,1,1,U-10,male,,,tennis,single,"SFAST002573,s16,won","SFAST002577,s12,lost"
24-12-2015,,1,U-12,male,,,tennis,single,"SFAST003207,s11,won","SFAST002535,s10,lost"
24-12-2015,1,1,U-10,female,,,tennis,single,"SFAST002602,s16,won","SFAST002512,s11,lost"
24-12-2015,3,1,U-10,female,,,tennis,single,"SFAST002359,s16,won","SFAST002584,s10,lost"
24-12-2015,2,1,U-10,female,,,tennis,single,"SFAST002604,s16,won","SFAST002542,s10,lost"
24-12-2015,4,1,U-10,female,,,tennis,single,"SFAST002619,s16,won","SFAST002583,s13,lost"
24-12-2015,2,1,U-12,male,,,tennis,single,"SFAST002499,s16,won","SFAST002550,s10,lost"
24-12-2015,,1,U-12,male,,,tennis,single,"SFAST003220,s11,won","SFAST002559,s10,lost"
24-12-2015,,1,U-12,male,,,tennis,single,"SFAST002552,s11,won","SFAST002536,s10,lost"
24-12-2015,,1,U-12,male,,,tennis,single,"SFAST002533,s11,won",
24-12-2015,,1,U-10,male,,,tennis,single,"SFAST002603,s11,won","SFAST002586,s10,lost"
24-12-2015,,1,U-12,male,,,tennis,single,"SFAST002608,s11,won","SFAST000134,s10,lost"
24-12-2015,4,1,U-12,male,,,tennis,single,"SFAST002529,s16,won","SFAST002509,s11,lost"
24-12-2015,,1,U-12,male,,,tennis,single,"SFAST002478,s11,won","SFAST002605,s10,lost"
24-12-2015,4,2,U-10,male,,,tennis,single,"SFAST002614,s11,won","SFAST002609,s10,lost"
24-12-2015,2,2,U-10,male,,,tennis,single,"SFAST002595,s16,won","SFAST002606,s13,lost"
24-12-2015,3,2,U-10,male,,,tennis,single,"SFAST002576,s16,won","SFAST002587,s13,lost"
24-12-2015,,,U-12,male,,,tennis,single,"SFAST002513,s11,won","SFAST002551,s10,lost"
24-12-2015,1,2,U-10,male,,,tennis,single,"SFAST002588,s16,won","SFAST002491,s11,lost"
24-12-2015,,2,U-10,male,,,tennis,single,"SFAST003222,s11,won",
24-12-2015,3,1,U-10,male,,,tennis,single,"SFAST003227,s16,won","SFAST002620,s10,lost"
24-12-2015,,1,U-10,male,,,tennis,single,"SFAST002610,s16,won","SFAST002540,s13,lost"
24-12-2015,4,1,U-10,male,,,tennis,single,"SFAST002570,s16,won","SFAST002539,s11,lost"
24-12-2015,3,1,U-10,male,,,tennis,single,"SFAST002587,s16,won","SFAST002354,s14,lost"
24-12-2015,2,1,U-10,male,,,tennis,single,"SFAST002571,s16,won","SFAST002490,s10,lost"
24-12-2015,1,1,U-10,male,,,tennis,single,"SFAST003221,s16,won","SFAST002510,s12,lost"
24-12-2015,,1,U-10,male,,,tennis,single,"SFAST003222,s11,won","SFAST002496,s10,lost"
24-12-2015,,1,U-10,male,,,tennis,single,"SFAST002491,s11,won","SFAST002611,s10,lost"
24-12-2015,,1,U-10,female,,,tennis,single,"SFAST002520,s11,won","SFAST002543,s10,lost"
24-12-2015,3,1,U-10,female,,,tennis,single,"SFAST002338,s16,won","SFAST002545,s11,lost"
24-12-2015,1,1,U-10,female,,,tennis,single,"SFAST002469,s16,won","SFAST002546,s10,lost"
24-12-2015,,1,U-10,male,,,tennis,single,"SFAST002344,s11,won","SFAST002498,s10,lost"
